mark1,mark2,mark3,attendance,fee_paid_flag,edu_loan_flag,yearly_income,yearly_fees,dropped_out
8,35,16,85,1,1,351635,105421,0
89,48,1,77,1,1,99336,49346,0
52,57,12,54,1,1,66905,133507,1
1,38,30,46,1,1,80273,145191,1
83,79,92,53,1,1,175191,134673,0
91,96,27,89,1,0,428080,46691,0
59,84,59,40,1,1,207306,125578,0
70,60,26,77,1,1,259957,134063,0
43,8,14,42,1,1,116538,37986,1
7,5,94,76,1,1,154570,47846,1
46,34,78,83,1,1,213645,142047,0
34,38,32,70,1,0,405483,69665,0
77,21,19,82,1,1,312025,133408,0
80,40,41,52,1,0,433276,61401,0
35,4,11,87,1,1,245392,93728,0
49,41,100,57,1,1,178993,124805,0
3,86,72,56,1,1,323474,148114,0
1,80,22,56,1,1,273112,70054,1
5,75,71,100,1,0,261588,58487,0
53,86,95,50,0,0,384697,29412,1
3,79,13,59,1,1,222425,142836,1
53,66,90,49,1,1,197083,101499,0
92,29,24,68,1,1,133537,71473,0
62,56,76,87,1,1,110985,119159,0
17,85,84,73,1,1,67044,86553,0
89,72,30,56,1,0,481508,25279,0
43,28,100,93,1,1,172304,95948,0
33,36,53,91,1,0,186322,27712,0
73,86,4,81,0,0,308116,35817,0
61,12,12,52,1,0,335433,73832,1
99,31,27,83,1,1,83087,113616,0
13,45,42,86,1,1,125952,76224,0
94,22,88,78,1,0,271767,26624,0
47,44,98,66,1,1,86368,49126,1
14,16,46,93,1,1,170648,102115,0
71,84,70,92,1,1,382959,100667,0
77,65,37,65,1,1,140693,57462,0
86,100,95,67,1,1,108900,78676,0
61,5,66,52,0,0,327638,66815,0
39,17,61,51,1,1,428630,122955,1
84,93,38,83,1,1,226238,108911,0
79,21,36,67,0,0,272182,46093,0
81,32,85,41,1,1,206405,131030,0
52,29,7,76,1,1,345194,137385,0
23,80,80,96,1,1,147799,52525,0
25,31,51,96,1,1,181016,49030,0
88,41,90,73,0,0,279147,64067,0
59,77,32,62,1,1,138257,135745,1
40,9,80,97,1,1,98070,25207,0
28,35,41,91,1,1,317310,96433,1
14,33,75,84,1,0,450337,46639,0
44,72,26,68,0,0,195749,22792,0
64,27,7,74,0,0,237633,20420,0
88,10,22,50,1,1,399553,114760,0
70,77,63,87,1,1,87664,39198,0
8,38,92,72,0,0,442070,55608,0
87,46,19,90,1,0,313437,66205,0
0,18,15,50,0,0,465659,102951,1
7,14,16,48,1,1,361356,125943,1
87,27,79,53,1,1,125276,37875,0
62,23,18,48,1,1,324703,90511,1
10,71,7,78,1,1,115231,111997,0
80,8,37,87,1,1,158277,41331,1
7,46,37,42,1,0,220116,36893,1
34,32,52,68,1,1,333891,84913,1
34,61,92,58,1,0,287528,38243,1
32,96,99,75,0,0,473345,35535,1
4,18,89,71,1,1,312181,83203,1
40,66,30,46,1,0,416438,90597,0
27,73,43,94,1,1,147847,87394,0
6,39,59,67,1,1,153742,45489,1
72,46,75,83,1,1,303437,99214,0
71,64,16,57,1,1,98503,140295,1
11,28,78,99,1,1,340351,120369,0
33,49,72,44,1,1,345385,132695,0
32,97,38,62,1,0,443274,104886,0
47,12,41,94,0,0,408315,33346,0
22,0,47,61,1,1,195906,68005,1
61,33,11,65,1,0,309966,26773,1
87,92,95,81,1,1,429446,115001,0
36,47,88,51,1,1,208262,146717,0
98,76,17,79,1,1,122832,142580,0
43,47,78,58,1,1,333527,95324,0
85,48,95,86,1,0,292046,52343,0
90,63,5,40,1,1,436435,132398,1
34,60,42,42,1,1,467876,122746,0
64,28,34,66,1,1,289101,94783,1
98,38,97,57,0,0,314818,65963,1
100,87,53,89,0,0,426244,61983,0
46,25,61,69,0,0,421513,55972,1
77,16,68,41,1,1,72820,36959,1
2,70,81,44,1,1,266112,134886,0
0,12,15,68,1,0,468882,109343,1
4,68,7,72,1,1,93794,54133,0
89,25,88,81,1,0,445292,109754,0
13,48,95,59,1,1,178544,71150,1
26,66,89,69,1,0,495558,41734,0
8,6,85,81,1,1,87555,108364,0
78,57,30,44,0,0,236280,37400,0
14,48,9,89,1,0,344550,40002,0
89,52,55,60,1,1,90262,118329,0
41,64,75,97,1,1,403464,144438,0
76,61,91,54,1,0,267733,56492,1
50,16,69,59,1,1,466432,117753,1
62,42,19,47,1,1,262208,121762,0
95,24,4,88,1,1,342428,113468,0
51,2,22,70,1,1,201243,141281,0
95,78,8,51,1,1,402771,128863,1
3,28,57,60,0,0,457549,50875,1
93,31,58,69,1,0,473751,45046,0
100,25,92,66,1,1,139023,145347,0
22,15,79,83,1,0,257012,43664,1
14,24,53,65,1,0,214772,44453,1
42,53,45,72,1,1,91516,24746,0
28,27,21,65,1,1,327721,109509,1
35,72,63,65,1,1,305623,143765,0
12,55,7,75,1,1,65015,33217,0
31,64,19,79,1,1,141104,83184,0
70,92,50,40,1,1,426556,108898,1
58,85,77,98,0,0,403884,61835,0
85,79,38,54,1,0,278356,29133,0
27,40,36,89,1,1,464452,121345,0
65,50,49,40,0,0,378784,60533,0
41,70,33,50,1,0,133190,25404,0
44,77,74,94,1,1,179516,53339,0
61,28,32,41,1,0,488920,48725,0
56,82,30,40,1,1,223441,94332,0
5,18,53,70,1,1,184718,65380,0
27,65,43,83,1,1,137007,68073,0
27,40,33,55,1,1,206978,80873,1
43,44,70,93,1,1,267715,106900,0
83,14,61,61,1,1,97728,147240,0
29,2,22,81,1,0,327022,61341,0
61,10,45,57,1,0,441069,21236,1
74,52,55,86,1,1,59145,87916,0
91,45,6,56,1,1,138578,125481,0
88,29,88,69,1,1,68226,148357,1
61,56,60,49,1,0,314946,34538,0
96,17,2,74,1,1,74119,31971,0
0,50,37,97,1,1,113560,128601,1
26,47,83,60,1,1,107353,119821,0
61,65,33,55,1,1,295741,103453,1
76,95,43,45,0,0,273793,58655,0
2,7,29,42,1,0,435145,97022,1
69,21,16,80,1,1,121641,80784,0
71,5,58,82,1,1,101712,142547,0
26,75,9,60,1,1,495405,138177,1
8,56,98,52,1,1,180085,81289,1
61,35,83,57,1,0,380429,57410,1
36,78,17,97,1,1,165278,110982,0
96,91,44,93,1,1,224021,71302,0
50,56,90,99,1,1,215201,146112,0
43,48,58,63,1,0,336656,41703,1
23,44,61,66,1,1,152077,64191,0
78,81,58,93,1,1,260103,138454,0
58,65,48,43,1,0,314208,74112,0
31,76,99,61,1,0,145614,31399,1
95,44,62,63,1,1,232639,124365,0
87,78,86,79,1,0,167639,32685,0
51,19,31,84,1,1,342155,107777,1
61,63,9,49,1,0,383296,24487,0
57,92,10,41,1,0,254583,32018,0
51,92,69,79,1,1,60960,50825,0
11,66,61,45,1,0,171789,27750,0
38,82,46,87,1,0,371064,78956,0
1,2,33,57,1,0,333531,70229,1
2,53,99,56,0,0,458540,103220,1
100,77,100,77,1,1,113960,63118,1
55,63,16,84,1,1,172994,79615,1
80,39,53,62,1,1,344772,99946,1
58,58,75,85,1,1,433413,141337,0
1,54,84,69,1,1,256168,141869,0
1,61,39,97,0,0,359596,77290,0
91,3,18,60,1,0,353242,35105,1
53,59,66,49,1,0,220307,38913,0
86,74,81,95,1,1,399005,121564,0
100,94,52,82,1,1,77949,69515,0
95,95,63,52,1,1,203893,67342,1
96,90,82,51,1,1,252684,132016,1
0,29,46,48,1,1,465248,135533,1
18,1,5,43,1,0,385681,72184,1
1,61,15,78,1,0,458519,103247,1
52,48,71,63,1,0,428147,80506,0
43,8,17,100,1,0,263065,44967,1
89,91,51,93,1,0,307798,56023,0
31,30,47,73,1,0,455519,74288,0
69,97,42,78,1,1,100701,141796,0
31,60,38,100,1,1,362655,144939,0
67,78,48,80,1,1,130664,121541,1
54,47,11,44,1,0,461496,46622,1
74,24,9,54,1,1,89427,65201,1
55,35,70,89,1,1,147180,95033,0
16,7,54,43,0,0,153550,36350,1
37,72,0,90,0,0,450183,74820,0
23,57,48,91,0,0,449877,68709,0
68,100,35,97,1,1,127952,108232,0
97,44,20,78,1,1,116046,47470,0
69,61,36,97,1,1,156918,50889,0
85,38,23,47,1,0,347344,30224,0
10,95,54,88,1,1,379586,127260,0
15,57,24,84,1,0,141070,25465,0
96,80,6,63,1,1,108168,102418,0
72,98,80,92,1,1,360466,117739,0
58,100,92,67,1,0,480912,113480,1
69,82,93,94,1,1,120246,75214,0
79,63,70,82,1,1,219964,115373,0
92,43,96,66,1,1,65583,22944,0
2,28,70,40,1,0,394864,44336,1
19,58,23,73,1,0,498431,58624,0
58,70,10,56,1,1,205925,85206,1
35,91,72,76,1,0,449325,64764,0
18,8,11,77,1,1,289285,117332,1
89,91,34,65,1,1,371901,114325,1
66,5,62,96,1,0,318803,65420,0
18,28,67,63,1,1,313382,109758,1
19,57,99,78,1,1,171270,124381,0
95,16,91,99,1,0,431355,85671,1
70,15,56,60,1,1,65064,35773,0
51,86,12,69,1,1,212187,127596,0
32,94,22,86,1,0,213024,46447,0
39,2,82,90,1,0,186692,24033,0
38,20,100,87,1,1,149790,75852,0
81,63,38,96,0,0,415129,40497,0
0,89,87,52,1,1,94258,99714,0
10,35,79,76,1,1,185542,146892,0
91,100,96,42,1,0,465219,92082,0
56,85,11,71,1,0,470787,93932,0
88,61,33,74,1,0,336812,40978,0
49,41,70,58,1,1,389403,128867,1
22,75,74,53,1,0,162192,32882,0
30,41,30,87,1,0,408720,36945,0
93,60,92,61,1,1,155481,107320,0
41,12,61,56,1,0,423649,76485,1
98,10,12,98,1,1,213118,88850,0
6,53,30,43,1,1,252049,138648,1
15,15,1,84,1,1,297600,79870,0
89,7,14,79,1,1,55397,38595,0
59,58,56,58,1,1,412069,104291,0
1,56,74,76,1,1,133481,117847,0
0,39,33,41,1,1,203305,84038,1
47,58,67,54,1,0,372452,76126,0
11,1,74,41,1,1,250798,131231,1
68,93,28,50,1,1,51130,116134,1
36,93,65,84,1,1,174293,55449,0
31,75,15,62,1,1,64071,121110,0
8,9,38,49,1,1,397661,130265,1
98,43,76,42,1,0,422384,38639,1
18,10,36,44,1,1,52118,65370,1
47,78,80,42,1,1,181735,116559,0
79,79,20,77,1,1,112408,94628,0
2,80,43,52,1,1,101786,91918,0
19,89,18,81,1,1,131271,62710,0
23,1,70,58,1,1,69158,74051,1
53,49,7,79,0,0,343231,80639,0
32,11,76,89,1,0,138114,23159,0
23,89,100,74,1,1,234193,91192,1
74,22,65,63,1,1,69874,86988,0
71,17,40,63,1,1,289139,127739,1
35,61,74,56,1,0,395587,38706,0
37,95,87,79,1,1,90821,29862,0
83,61,69,49,1,0,165675,30219,0
98,37,60,41,1,1,372726,109017,0
88,66,25,83,1,1,172603,54536,0
98,37,70,62,1,0,466003,91632,0
24,66,82,45,1,1,464921,123489,1
92,93,69,41,1,1,119381,97391,0
17,60,28,60,1,0,423944,82886,1
81,0,65,94,1,1,442949,128798,0
65,93,18,95,1,1,225725,99996,0
53,44,67,74,1,0,394162,53937,1
34,95,57,88,1,0,412736,41094,0
79,27,69,68,1,1,403770,145312,0
60,20,56,46,1,1,136217,124894,0
40,12,36,68,1,1,304585,135074,1
99,26,60,92,1,1,475468,137118,0
32,99,91,76,1,0,384943,47924,0
67,6,29,62,1,1,374329,103325,1
32,21,70,72,0,0,353682,20123,0
13,73,72,47,1,0,332487,73149,0
20,52,24,51,1,1,261470,133930,1
47,78,96,85,1,0,484448,91445,0
19,78,64,87,1,1,170026,51854,0
7,3,5,49,1,1,284257,80796,1
6,95,17,54,1,1,103106,89432,1
66,22,9,92,1,0,426466,78968,0
16,69,91,63,1,1,131227,60834,0
32,87,10,65,1,1,496295,127677,0
47,83,96,86,1,0,206100,37111,0
75,100,64,81,1,1,92135,92575,0
58,83,76,92,1,1,212138,130380,0
85,75,100,99,1,1,169599,44099,0
21,32,83,78,1,1,279789,89206,0
29,27,64,97,1,1,133470,70293,1
37,7,51,42,1,1,333054,128871,1
50,0,66,41,1,1,294090,138719,1
53,36,81,45,1,0,188213,35029,0
7,62,77,60,1,1,95950,51811,0
26,21,30,48,1,0,236795,35793,1
26,69,90,49,1,1,328369,126854,0
97,20,16,75,1,0,345103,68106,0
20,95,54,98,1,1,361336,105662,0
29,34,92,42,1,1,129711,104764,0
96,78,35,80,1,1,191123,147418,0
27,4,100,63,1,1,252500,104131,0
63,59,25,61,1,0,305284,20972,0
96,45,52,88,1,0,315593,20360,0
68,49,16,53,1,0,484311,22632,0
60,47,85,81,0,0,416357,55958,0
47,5,24,84,1,1,210262,123252,0
18,88,1,83,1,1,150245,100882,0
3,55,85,66,1,1,147069,133858,0
34,58,4,72,0,0,207213,38008,0
63,28,3,99,1,1,283597,97656,0
48,70,35,61,1,1,73908,50283,0
16,76,5,68,1,0,416991,70908,1
43,17,20,58,1,0,433054,27818,1
91,1,76,58,1,1,304340,90655,0
29,7,100,45,1,0,475538,50579,0
92,74,88,84,0,0,493926,75178,0
45,96,25,58,0,0,326156,77584,1
5,53,54,52,1,0,478105,85020,1
98,37,38,98,1,1,67412,131257,0
36,47,83,65,1,1,422174,133204,0
23,26,32,61,1,1,336801,115373,1
92,19,13,60,1,1,317800,141663,0
45,11,55,75,1,0,190039,20975,0
52,42,99,95,0,0,458980,83479,0
94,60,80,41,1,0,328017,36265,0
98,30,20,86,1,1,144485,83518,0
59,90,45,83,1,0,421527,24318,0
96,95,15,69,1,1,494246,140611,0
62,60,15,66,1,0,248879,55081,0
84,73,83,46,1,1,51607,78649,0
31,66,28,59,1,1,200595,135475,0
86,90,91,89,1,1,98447,137116,0
32,34,7,70,1,1,99757,127051,0
66,94,87,62,1,0,310114,63069,1
17,14,2,52,1,1,300495,133352,1
24,15,88,56,1,1,274598,98670,0
94,12,18,43,1,1,381345,124968,0
53,34,96,96,1,1,440909,131686,0
57,74,65,53,1,1,262916,96377,1
66,58,78,59,1,1,317606,111671,0
45,20,85,99,1,0,428976,32427,0
23,53,73,52,1,1,212867,60251,0
31,74,81,42,1,1,250878,119667,0
46,29,21,65,1,1,360609,122263,1
85,47,45,65,1,1,140027,45165,1
22,34,90,57,1,1,100528,87285,1
65,85,12,71,1,1,348374,141359,0
26,37,32,53,1,1,98242,118844,1
1,30,4,86,1,1,164688,84927,1
89,77,89,42,1,1,51783,93170,0
16,23,76,40,1,1,78390,96150,1
32,48,26,65,1,0,189489,44866,1
8,95,77,63,1,0,122102,30282,1
42,99,23,88,0,0,329570,40319,1
47,31,66,74,1,1,80750,56726,0
38,54,62,53,1,1,108188,35412,0
92,78,93,42,1,1,323016,122163,0
41,57,98,52,1,1,144231,93586,1
25,98,47,86,1,1,442004,144135,1
98,2,62,89,1,1,229158,140019,0
49,79,77,53,1,1,116770,44583,0
24,68,11,60,1,1,281360,103577,1
23,84,27,65,1,1,275440,81922,0
12,9,43,42,1,0,436302,26185,1
59,82,92,90,1,1,395658,106348,0
6,24,42,79,1,1,269249,111368,0
56,67,16,43,1,1,142663,76389,0
35,60,39,75,1,1,215792,146830,0
44,28,48,90,1,0,199151,37423,1
19,18,84,82,1,0,460554,71268,0
64,42,56,40,1,1,184363,132692,0
7,65,86,79,0,0,255156,61644,0
15,73,83,86,1,1,162808,56786,0
13,60,63,72,1,1,160091,115201,1
75,42,74,46,0,0,411416,95525,0
86,24,56,92,1,1,99393,142234,0
14,19,97,91,1,1,143558,103744,0
91,47,73,91,1,1,119770,138222,0
97,82,73,95,1,1,338864,108590,0
65,86,69,50,1,0,325512,50477,0
31,23,99,66,1,1,235385,115910,0
86,10,87,100,1,1,360113,142942,0
62,97,75,53,1,1,98838,126756,0
85,54,42,61,1,1,58734,23571,0
50,27,22,55,1,1,157187,39576,1
24,68,26,85,1,1,149329,139641,0
57,62,57,51,1,0,455413,82703,0
62,58,36,88,1,0,381039,29680,0
61,4,5,85,1,0,284633,45706,1
21,50,64,49,1,1,170424,99854,0
57,20,5,63,1,1,413399,106195,1
57,11,49,100,1,0,370217,84527,0
85,49,21,85,1,1,253997,135042,0
48,3,87,57,1,1,294042,90565,1
51,41,24,61,1,1,261560,68436,1
41,83,78,48,1,0,275683,22774,0
69,37,89,56,1,0,265547,36972,0
14,24,71,77,0,0,293603,34048,0
53,13,50,79,1,1,231374,118908,0
59,74,87,97,1,1,327768,128724,0
100,31,47,52,1,1,248343,126669,0
96,10,69,89,1,1,336459,100225,0
7,60,98,76,1,1,329566,102273,0
52,17,64,45,1,1,220209,146170,1
59,26,59,60,1,1,122663,101550,0
4,54,45,90,1,1,151216,107354,1
67,53,35,75,1,0,491448,118737,0
5,81,57,46,1,1,300600,96680,0
95,86,75,75,1,1,306492,116537,0
93,74,37,64,0,0,344887,77602,1
46,20,10,50,0,0,458852,86403,1
98,43,11,83,1,1,60108,47182,0
54,4,41,53,1,1,254706,99876,1
39,86,38,84,1,1,86180,97373,0
51,40,70,68,1,0,331027,67059,0
15,58,10,49,1,1,94400,28787,1
12,88,35,89,1,1,227071,140452,1
29,53,51,87,0,0,97951,20393,0
18,73,30,44,0,0,450376,81775,0
16,21,32,47,1,0,367406,79454,1
62,82,12,85,1,0,463145,32056,1
18,64,17,44,1,0,395277,81483,1
91,63,40,97,1,1,192195,128696,1
57,70,57,99,1,0,427250,64957,0
54,3,55,63,1,0,209429,48429,1
89,64,23,79,1,0,382640,65909,0
100,14,72,96,1,1,214628,72906,0
89,75,30,65,1,1,374078,117435,0
61,21,54,45,1,1,391030,117757,1
22,85,9,55,1,1,80881,106290,1
8,46,59,99,0,0,330553,64389,1
11,80,1,75,1,0,498632,40905,0
0,92,14,51,1,1,148171,109619,1
57,45,2,50,1,0,303189,73730,1
0,13,42,42,1,0,473873,77557,1
33,49,30,83,1,1,267815,136814,0
95,19,69,76,1,1,361095,126634,0
47,49,66,45,1,1,320896,115157,1
88,32,55,58,1,1,167339,106113,1
0,58,62,57,1,1,456656,122264,0
15,42,74,55,1,1,94864,86199,1
60,78,14,62,1,1,230763,67301,0
63,11,91,82,1,1,122035,104752,0
62,39,9,76,1,1,136675,67259,0
68,19,37,48,1,1,334487,94801,0
21,93,46,42,1,0,274320,24574,0
92,37,56,47,1,1,69673,108291,1
66,2,49,77,1,1,241026,146902,0
75,27,70,43,1,1,235770,76776,0
25,55,14,51,1,1,407168,116777,1
15,89,17,83,1,1,76520,108212,0
50,93,81,70,1,1,295195,107097,0
100,12,87,64,0,0,327928,44737,0
85,76,1,92,1,0,429590,43390,0
56,65,83,55,1,1,88079,111612,1
28,36,97,81,1,1,94220,72330,0
77,48,42,93,1,1,201563,91082,0
91,65,25,53,1,1,162878,73642,0
68,35,70,52,0,0,166583,41280,1
46,53,37,80,1,1,98720,118489,0
93,25,93,46,1,0,281876,41037,0
61,74,41,51,1,1,64718,136668,0
68,71,4,76,1,1,478813,139229,0
75,39,10,89,1,0,373361,60576,0
15,42,64,43,1,0,412812,48564,1
89,21,33,41,1,1,207904,119133,0
89,19,0,74,1,0,498034,105439,1
47,7,82,97,1,1,278470,116342,0
84,28,1,83,1,1,456080,131864,0
38,39,84,42,1,1,138378,109928,0
99,89,19,43,1,1,58177,48087,1
32,29,60,77,1,1,227187,129824,0
93,80,86,51,1,1,434462,129844,0
100,83,20,58,1,1,287307,107829,0
22,54,87,49,1,0,499426,96213,0
9,15,67,40,1,0,495170,32803,1
68,45,11,56,1,1,161145,132192,0
99,61,21,55,1,0,455060,66002,0
33,6,19,48,1,1,255202,86761,1
51,79,81,96,1,1,63418,148574,1
94,44,0,92,1,1,215926,91310,0
9,58,29,48,1,1,138075,98579,1
18,55,96,98,1,0,487166,36163,0
57,47,23,94,1,0,377371,88380,0
95,26,13,48,1,0,456051,92883,0
0,52,35,51,1,0,329677,71885,1
68,86,68,94,1,1,413601,106340,0
3,87,74,80,1,0,419648,56764,0
15,72,23,54,1,1,268930,112782,1
23,34,59,41,1,0,453439,82126,1
79,50,94,50,1,1,174202,127994,0
1,83,54,50,1,1,60273,87224,0
91,36,76,47,1,1,83519,67055,0
31,80,79,94,1,1,205232,71599,0
90,94,23,71,1,0,439168,102787,1
83,56,76,45,1,0,436684,98040,1
23,7,23,92,1,1,230060,59720,0
11,78,53,59,1,0,453564,113120,1
49,94,25,78,1,1,133460,64484,0
34,93,65,74,1,1,298792,147976,0
32,19,79,47,1,1,154471,134067,0
32,52,37,89,1,1,154668,58852,0
60,11,64,88,1,0,379663,33219,0
50,48,74,82,1,1,402570,128508,0
42,16,50,73,1,1,64629,110351,0
100,63,34,96,0,0,361200,68865,0
11,41,42,92,1,0,323417,74457,1
66,93,28,98,1,1,170484,110159,1
64,28,36,95,1,1,147275,56817,0
32,18,80,58,1,0,483632,88993,0
39,10,57,46,1,1,188966,113391,1
73,97,53,70,1,1,96073,72380,1
42,49,38,57,1,1,95693,70400,1
43,70,41,79,1,1,232538,135855,0
28,57,27,53,1,0,336487,56258,1
12,33,28,78,1,1,93095,101006,0
11,19,42,99,1,1,212246,68957,0
94,49,2,92,1,1,494017,131466,0
45,87,9,99,0,0,172388,38281,0
1,9,58,98,1,1,290787,97264,0
34,31,13,75,1,1,253508,71331,1
86,51,75,56,1,1,164441,65680,1
80,14,46,76,1,1,150782,58723,0
89,100,41,83,1,0,308019,30162,0
7,83,93,48,1,1,289343,114808,0
92,2,31,97,1,0,486142,121024,0
25,36,31,59,1,1,384734,128877,1
73,39,41,84,1,0,482043,71095,0
89,71,31,96,0,0,158263,31338,0
33,39,25,67,1,0,487991,107832,1
6,55,0,89,0,0,484417,31675,0
67,22,55,59,1,1,341517,109606,1
57,10,1,80,0,0,339669,40080,1
74,63,80,75,1,1,439860,132675,0
28,7,29,92,1,1,416657,137513,0
35,92,70,66,0,0,179401,33936,0
88,93,51,47,1,0,146643,30019,0
20,55,90,71,1,1,211558,126718,0
35,59,8,40,1,1,199712,87282,1
9,9,21,56,1,0,409838,69681,1
100,38,33,96,1,1,242527,108304,0
72,27,48,48,1,1,86136,93861,1
23,48,0,59,1,1,106539,130299,1
63,35,72,84,1,0,262736,24486,1
98,12,83,71,0,0,468158,102021,0
48,95,52,41,1,1,118363,99864,0
98,35,82,71,1,1,239668,138411,0
35,100,99,84,1,1,131526,39112,0
81,25,39,48,1,0,347399,71697,0
95,85,44,69,1,1,243201,137246,1
23,3,67,59,1,1,168209,75998,1
22,94,8,77,1,1,292723,129537,0
61,81,21,99,1,1,136437,117816,0
95,63,17,40,1,0,197349,46576,1
36,37,75,99,1,1,182715,70100,0
11,87,42,96,1,1,428044,128064,1
54,86,38,44,1,1,335873,101238,0
12,21,72,74,1,0,333962,41320,1
22,1,5,75,1,1,115555,103973,0
88,30,82,40,1,1,148979,145885,0
98,10,47,53,1,1,103629,85729,0
29,91,6,48,1,1,165296,110853,1
16,45,79,69,1,1,367582,141992,1
61,95,68,63,1,1,295821,114018,0
83,61,15,43,1,1,321601,104879,1
88,68,0,89,0,0,240701,49144,0
85,63,36,53,1,1,346066,145143,0
12,9,82,64,1,0,453036,77326,1
58,39,36,43,1,0,475966,97148,0
18,23,80,64,1,0,420266,39307,0
48,98,63,49,1,1,152020,80598,0
99,43,89,74,1,0,284618,39623,0
11,59,85,94,1,0,218862,40249,0
60,61,61,46,1,0,400549,93765,0
18,86,71,81,1,1,428274,111810,0
75,16,60,52,1,1,215493,122870,0
8,64,32,43,1,0,380182,92131,1
70,94,65,89,1,1,299029,114138,1
27,94,29,82,1,0,263273,58377,0
77,56,19,96,1,1,112325,72365,0
94,54,59,75,1,1,337744,123412,0
51,52,81,95,1,0,472610,54551,0
82,55,73,53,0,0,260694,62926,1
15,97,23,57,1,1,312051,110214,0
68,8,3,47,1,0,479387,107750,1
98,21,36,71,0,0,280611,58599,0
11,12,3,66,1,1,373670,118345,1
24,88,76,81,1,1,300520,129490,0
51,47,88,76,1,1,63149,113330,0
84,17,76,62,1,0,211466,42593,0
99,75,17,46,1,1,195468,80334,0
52,39,87,51,1,0,466540,114400,0
22,16,65,64,1,1,228270,129865,1
15,14,47,42,1,1,162168,135749,1
56,14,32,65,1,1,159813,79893,1
38,78,57,43,0,0,403923,62636,1
52,62,82,81,1,1,306960,89225,0
41,38,72,75,1,0,474232,60363,0
57,12,27,54,1,1,184266,75959,1
38,80,34,71,1,1,344542,100223,0
13,31,9,68,1,1,316933,105917,1
94,8,64,49,1,1,377111,118629,0
4,39,41,60,1,1,290014,109125,1
34,19,84,93,0,0,242206,21120,0
86,89,8,55,1,0,311041,36491,0
92,90,59,86,1,1,251958,63638,0
74,84,14,58,1,0,410981,59062,0
17,81,98,68,1,0,206049,25193,1
75,76,56,91,1,1,151967,109144,0
8,79,68,90,0,0,443345,35213,0
73,72,21,57,1,1,371827,143214,0
57,62,63,97,1,1,357475,133915,0
16,75,40,83,1,1,298719,99766,0
6,43,86,96,1,1,346770,103959,0
45,37,70,55,1,0,491719,37187,1
12,82,55,40,0,0,208621,30040,0
39,59,22,87,1,1,62342,86302,0
41,70,24,41,1,0,348561,49949,0
8,98,90,95,1,1,257586,132000,0
49,47,5,54,1,0,233321,23527,1
26,17,33,78,1,1,364808,136994,0
65,15,62,67,1,1,288788,96557,0
4,54,8,40,1,1,320977,103408,1
28,38,59,44,1,1,372802,122433,0
36,67,48,81,1,1,280099,97294,0
37,58,96,61,0,0,472689,38757,1
82,88,50,92,1,0,443953,45412,0
7,95,59,75,1,1,407109,137997,1
64,61,69,85,1,1,489863,141522,0
85,12,36,52,1,0,376198,34312,0
16,80,30,40,1,1,51299,42119,0
70,100,97,55,0,0,299240,31804,0
88,5,40,94,0,0,378019,73986,0
44,82,61,80,1,1,213992,66545,1
3,76,92,61,1,0,498052,96519,0
